ipem_row;сцеп_цены;код_груза;наим_груза;станц_отпр;станц_назн;дор_отпр;дор_наз;род_вагона;вид_перевозки;origin_esr;dest_esr;cargo_code;wagon_kind_name;message_type_name;resolve_status;rzd_match_count;rzd_match_count_broad
1;уголь энергетический (кроме антрацита)ЭкспортВосточное;16111;УГОЛЬ Г;ЧЕГДОМЫН;ВАНИНО-ЭКСП;ДВС;ДВС;полувагон;Экспорт;91720;96780;016111;Полувагоны;Экспорт;ok;3;3
2;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16112;УГОЛЬ Д;ЧЕРНОГ.КОПИ;МУРМАНСК-ЭКС;КРС;ОКТ;полувагон;Экспорт;88790;1850;016112;Полувагоны;Экспорт;ok;9;9
3;уголь энергетический (кроме антрацита)ЭкспортЮжное;16112;УГОЛЬ Д;ЧЕРНОГ.КОПИ;АЗОВ-ЭКСПОРТ;КРС;СКВ;полувагон;Экспорт;88790;51030;016112;Полувагоны;Экспорт;ok;8;8
4;;16109;УГ БУР НЕПОДМОС;ЗАОЗЕРНАЯ;БАЗАИХА;КРС;КРС;полувагон;Внутр. перевозки;89310;89210;016109;Полувагоны;Внутр. перевозки;ok;9;9
5;;16112;УГОЛЬ Д;ЧЕРНОГ.КОПИ;СОЛЬВЫЧЕГОДС;КРС;СЕВ;полувагон;Внутр. перевозки;88790;28000;016112;Полувагоны;Внутр. перевозки;ok;4;4
6;;16109;УГ БУР НЕПОДМОС;ЗАОЗЕРНАЯ;ЖЕРЕБЦОВО;КРС;ЗСБ;полувагон;Внутр. перевозки;89310;85200;016109;Полувагоны;Внутр. перевозки;ok;2;2
7;уголь энергетический (кроме антрацита)ЭкспортВосточное;16112;УГОЛЬ Д;КАМЫШТА;МИХ-СЕМ-Э;КРС;ИФР;полувагон;Экспорт;88760;96390;016112;Полувагоны;Экспорт;ok;38;38
8;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16111;УГОЛЬ Г;КРАВЧЕНКО;ЛУЖСКАЯ-ЭКСП;КРС;ОКТ;полувагон;Экспорт;88850;7640;016111;Полувагоны;Экспорт;ok;10;10
9;уголь энергетический (кроме антрацита)ЭкспортЮжное;16111;УГОЛЬ Г;КРАВЧЕНКО;ВЫШСТБЛ-ЭКС;КРС;СКВ;полувагон;Экспорт;88850;52520;016111;Полувагоны;Экспорт;ok;4;4
10;;16109;УГ БУР НЕПОДМОС;ЕКАТЕРИНОСЛ.;БЛАГОВЕЩЕНСК;ЗАБ;ЗАБ;полувагон;Внутр. перевозки;95540;95470;016109;Полувагоны;Внутр. перевозки;ok;3;3
11;;16109;УГ БУР НЕПОДМОС;КИЛЬЧУГ;ВОСЛЕБОВО;КРС;МСК;полувагон;Внутр. перевозки;88900;22790;016109;Полувагоны;Внутр. перевозки;ok;6;6
12;;16112;УГОЛЬ Д;КАМЫШТА;БАРДИНО;КРС;ЗСБ;полувагон;Внутр. перевозки;88760;86310;016112;Полувагоны;Внутр. перевозки;ok;2;2
13;уголь энергетический (кроме антрацита)ЭкспортВосточное;16118;УГОЛЬ Т;САРБАЛА;НАХОДКА-В-ЭК;ЗСБ;ДВС;полувагон;Экспорт;86560;98610;016118;Полувагоны;Экспорт;ok;13;13
14;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16117;УГОЛЬ СС;БОЧАТЫ;ЛУЖСКАЯ-ЭКСП;ЗСБ;ОКТ;полувагон;Экспорт;86260;7640;016117;Полувагоны;Экспорт;ok;11;11
15;уголь энергетический (кроме антрацита)ЭкспортЮжное;16112;УГОЛЬ Д;ЕРУНАКОВО;ТУАПСЕ-СОР-Э;ЗСБ;СКВ;полувагон;Экспорт;86300;53310;016112;Полувагоны;Экспорт;ok;9;9
16;;16112;УГОЛЬ Д;ЕРУНАКОВО;ВАНИНО-ПЕРЕВ;ЗСБ;ДВС;полувагон;Внутр. перевозки;86300;96770;016112;Полувагоны;Внутр. перевозки;ok;5;5
17;;16112;УГОЛЬ Д;ЕРУНАКОВО;ЗБРОДОВО;ЗСБ;МСК;полувагон;Внутр. перевозки;86300;21270;016112;Полувагоны;Внутр. перевозки;ok;5;5
18;;16114;УГОЛЬ К;БОЧАТЫ;НОВОЛИПЕЦК;ЗСБ;ЮВС;полувагон;Внутр. перевозки;86260;59220;016114;Полувагоны;Внутр. перевозки;ok;4;4
19;уголь энергетический (кроме антрацита)ЭкспортВосточное;16111;УГОЛЬ Г;УЛАК;СТРЕЛКОВАЯ-Э;ДВС;ДВС;полувагон;Экспорт;91310;98350;016111;Полувагоны;Экспорт;ok;6;6
20;;16112;УГОЛЬ Д;ФЕВРАЛЬСК;МЫС МАРИЯ;ДВС;ДВС;полувагон;Внутр. перевозки;91610;96900;016112;Полувагоны;Внутр. перевозки;ok;1;1
21;уголь для коксованияЭкспортВосточное;16104;КОНЦЕНТР УГОЛЬН;МЕЖДУРЕЧЕНСК;НАХОДКА-ЭКС;ЗСБ;ДВС;полувагон;Экспорт;86490;98470;016104;Полувагоны;Экспорт;ok;8;8
22;уголь для коксованияЭкспортСеверо-Западное;16104;КОНЦЕНТР УГОЛЬН;ОБНОРСКАЯ;ЛУЖСКАЯ-ЭКСП;ЗСБ;ОКТ;полувагон;Экспорт;86410;7640;016104;Полувагоны;Экспорт;ok;2;2
23;уголь для коксованияЭкспортЮжное;16104;КОНЦЕНТР УГОЛЬН;МЕЖДУРЕЧЕНСК;ВЫШСТБЛ-ЭКС;ЗСБ;СКВ;полувагон;Экспорт;86490;52520;016104;Полувагоны;Экспорт;ok;6;6
24;;16106;ПРОМПРОДУКТ УГ;МЕЖДУРЕЧЕНСК;ХАБАРОВСК 1;ЗСБ;ДВС;полувагон;Внутр. перевозки;86490;97040;016106;Полувагоны;Внутр. перевозки;ok;5;5
25;;16104;КОНЦЕНТР УГОЛЬН;МЕЖДУРЕЧЕНСК;ЧЕРЕПОВЕЦ 2;ЗСБ;СЕВ;полувагон;Внутр. перевозки;86490;30250;016104;Полувагоны;Внутр. перевозки;ok;8;8
26;;16111;УГОЛЬ Г;ЕРУНАКОВО;ОБНОРСКАЯ;ЗСБ;ЗСБ;полувагон;Внутр. перевозки;86300;86410;016111;Полувагоны;Внутр. перевозки;ok;3;3
27;антрацит (энергетический уголь)ЭкспортВосточное;16101;АНТРАЦИТ;ЕВСИНО;СМОЛЯНИНОВ-Э;ЗСБ;ДВС;полувагон;Экспорт;85280;98390;016101;Полувагоны;Экспорт;ok;4;4
28;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16118;УГОЛЬ Т;МЫСКИ;ЛУЖСКАЯ-ЭКСП;ЗСБ;ОКТ;полувагон;Экспорт;86470;7640;016118;Полувагоны;Экспорт;ok;24;24
29;уголь энергетический (кроме антрацита)ЭкспортЮжное;16118;УГОЛЬ Т;МЫСКИ;ВЕСЕЛОЕ-ЭКСП;ЗСБ;СКВ;полувагон;Экспорт;86470;53260;016118;Полувагоны;Экспорт;ok;3;3
30;;16118;УГОЛЬ Т;МЫСКИ;ХАБАРОВСК 1;ЗСБ;ДВС;полувагон;Внутр. перевозки;86470;97040;016118;Полувагоны;Внутр. перевозки;ok;13;13
31;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16118;УГОЛЬ Т;МЫСКИ;ВЫХОДНОЙ;ЗСБ;ОКТ;полувагон;Экспорт;86470;1680;016118;Полувагоны;Экспорт;ok;0;6
32;;16101;АНТРАЦИТ;ЕВСИНО;БИРЮЛИНСКАЯ;ЗСБ;ЗСБ;полувагон;Внутр. перевозки;85280;87190;016101;Полувагоны;Внутр. перевозки;ok;3;3
33;уголь энергетический (кроме антрацита)ЭкспортВосточное;16112;УГОЛЬ Д;КАСЬЯНОВКА;МИХ-СЕМ-Э;ВСБ;ИФР;полувагон;Экспорт;93140;96390;016112;Полувагоны;Экспорт;ok;15;15
34;;16112;УГОЛЬ Д;ЧЕРЕМХОВО;КАСЬЯНОВКА;ВСБ;ВСБ;полувагон;Внутр. перевозки;93090;93140;016112;Полувагоны;Внутр. перевозки;ok;1;1
35;уголь энергетический (кроме антрацита)ЭкспортВосточное;16118;УГОЛЬ Т;СПИЧЕНКОВО;ДЮАНКА-Э;ЗСБ;ДВС;полувагон;Экспорт;86370;96710;016118;Полувагоны;Экспорт;ok;6;6
36;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16118;УГОЛЬ Т;СПИЧЕНКОВО;ЛУЖСКАЯ-ЭКСП;ЗСБ;ОКТ;полувагон;Экспорт;86370;7640;016118;Полувагоны;Экспорт;ok;5;5
37;уголь энергетический (кроме антрацита)ЭкспортЮжное;16118;УГОЛЬ Т;СПИЧЕНКОВО;КАВКАЗ-ЭКСП;ЗСБ;СКВ;полувагон;Экспорт;86370;52810;016118;Полувагоны;Экспорт;ok;1;1
38;;16112;УГОЛЬ Д;БЕЛОВО;БАГУЛЬНАЯ;ЗСБ;ВСБ;полувагон;Внутр. перевозки;86230;92450;016112;Полувагоны;Внутр. перевозки;ok;4;4
39;;16104;КОНЦЕНТР УГОЛЬН;СПИЧЕНКОВО;ЧЕРЕПОВЕЦ 2;ЗСБ;СЕВ;полувагон;Внутр. перевозки;86370;30250;016104;Полувагоны;Внутр. перевозки;ok;4;4
40;;16104;КОНЦЕНТР УГОЛЬН;ЧЕРКАС.КАМ.;ЗАРИНСКАЯ;ЗСБ;ЗСБ;полувагон;Внутр. перевозки;86380;84140;016104;Полувагоны;Внутр. перевозки;ok;2;2
41;уголь энергетический (кроме антрацита)ЭкспортВосточное;16111;УГОЛЬ Г;ЕРУНАКОВО;НАХОДКА-В-ЭК;ЗСБ;ДВС;полувагон;Экспорт;86300;98610;016111;Полувагоны;Экспорт;ok;43;43
42;уголь энергетический (кроме антрацита)ЭкспортСеверо-Западное;16112;УГОЛЬ Д;ЕРУНАКОВО;ЛУЖСКАЯ-ЭКСП;ЗСБ;ОКТ;полувагон;Экспорт;86300;7640;016112;Полувагоны;Экспорт;ok;57;57
43;уголь энергетический (кроме антрацита)ЭкспортЮжное;16112;УГОЛЬ Д;ЕРУНАКОВО;ВЫШСТБЛ-ЭКС;ЗСБ;СКВ;полувагон;Экспорт;86300;52520;016112;Полувагоны;Экспорт;ok;28;28
44;;16117;УГОЛЬ СС;ЧЕРКАС.КАМ.;МОНЧЕГОРСК;ЗСБ;ОКТ;полувагон;Внутр. перевозки;86380;1640;016117;Полувагоны;Внутр. перевозки;ok;4;4
45;;16115;УГОЛЬ ОС-ОТОЩ;КАЙГУР;НОВОКУЗ.-СЕВ;ЗСБ;ЗСБ;полувагон;Внутр. перевозки;87210;86420;016115;Полувагоны;Внутр. перевозки;ok;3;3
46;уголь энергетический (кроме антрацита)ЭкспортВосточное;16122;ШИХТА УГОЛЬН;НЕРЮНГРИ-ГР;ПОСЬЕТ-ЭКСП;ДВС;ДВС;полувагон;Экспорт;91160;98780;016122;Полувагоны;Экспорт;ok;3;3
47;;16104;КОНЦЕНТР УГОЛЬН;НЕРЮНГРИ-ГР;МАГНИТОГ-ГР;ДВС;ЮУР;полувагон;Внутр. перевозки;91160;81760;016104;Полувагоны;Внутр. перевозки;ok;2;2
48;;16104;КОНЦЕНТР УГОЛЬН;ТОМУСИНСКАЯ;БИРЮЛЕВО-ТОВ;ЗСБ;МСК;полувагон;Внутр. перевозки;86460;19330;016104;Полувагоны;Внутр. перевозки;ok;2;2
49;;16114;УГОЛЬ К;МЫСКИ;ТОМУСИНСКАЯ;ЗСБ;ЗСБ;полувагон;Внутр. перевозки;86470;86460;016114;Полувагоны;Внутр. перевозки;ok;2;2
