ipem_index;ipem_key;origin_esr;dest_esr;cargo_name;cargo_id;cargo_code;rzd_cost_loaded_per_ton;rzd_cost_empty_per_ton;rzd_cost_total_per_ton;operators_cost_per_ton;transshipment_cost_per_ton;excise_or_duty_per_ton;transport_total_cost_per_ton;production_cost_per_ton;total_cost_per_ton;market_price_per_ton;rzd_match_count
372;91370_80120;91370;80120;АГЛОРУДА;14113;14113;1720.96;1043.69;2764.65;1503.48;0.00;0.00;4268.13;1147.50;5415.63;7650;9
373;43840_91310;43840;91310;КОНЦЕНТРАТ ЖЛРУ;14109;14109;2061.74;1359.48;3421.22;1575.07;0.00;0.00;4996.29;3487.50;8483.79;7750;3
374;1640_2140;1640;2140;ШТЕЙН НИКЕЛЕВ;15165;15165;1092.92;0.00;1092.92;473.38;0.00;0.00;1741.30;548168.40;549909.70;1034280;2
376;43840_54490;43840;54490;БРИКЕТЫ ЖЕЛЕЗ;14103;14103;1118.90;561.81;1680.71;894.93;0.00;0.00;2575.64;3219.20;5794.83;7153.77;1
377;1810_98610;1810;98610;КОНЦЕНТР НИКЕЛ;15119;15119;4079.29;0.00;4079.29;937.73;1066.67;0.00;6430.36;548168.40;554598.76;1034280;6
379;79540_85030;79540;85030;РУДА АЛЮМИН ПР;15133;15133;927.45;524.91;1452.36;644.35;0.00;0.00;2096.71;35174.14;37270.85;45680.7;1
380;1540_30250;1540;30250;КОНЦЕНТРАТ ЖЛРУ;14109;14109;887.14;483.63;1370.77;501.16;0.00;0.00;1871.93;2825.58;4697.51;7750;2
381;77300_30260;77300;30260;ОКАТЫШИ Ж/РУД;14111;14111;954.14;519.40;1473.54;715.94;0.00;0.00;2189.48;3939.98;6129.46;8000;1
382;1810_3560;1810;3560;КОНЦЕНТР НИКЕЛ;15119;15119;1043.69;0.00;1043.69;360.67;906.67;0.00;2444.36;548168.40;550612.76;1034280;6
384;43840_52100;43840;52100;БРИКЕТЫ ЖЕЛЕЗ;14103;14103;832.06;434.39;1266.45;501.16;1100.00;0.00;2867.61;3219.20;6086.81;7153.77;9
385;77300_52100;77300;52100;ОКАТЫШИ Ж/РУД;14111;14111;1399.99;706.44;2106.43;1002.32;1100.00;0.00;4208.75;3939.98;8148.73;7153.77;6
386;43840_59230;43840;59230;КОНЦЕНТРАТ ЖЛРУ;14109;14109;333.64;105.04;438.68;357.97;0.00;0.00;796.65;2635.00;3431.65;7750;2
387;2780_93150;2780;93150;ОКАТЫШИ Ж/РУД;14111;14111;1839.83;1153.66;2993.49;1431.88;0.00;0.00;4425.37;2758.08;7183.45;8000;6
388;79540_92030;79540;92030;ГЛИНОЗЕМ;15106;15106;1919.80;671.36;2591.16;859.13;0.00;0.00;3450.29;35174.14;38624.43;45680.7;5
389;92570_80120;92570;80120;КОНЦЕНТРАТ ЖЛРУ;14109;14109;1265.07;689.15;1954.22;715.94;0.00;0.00;2670.16;5580.00;8250.16;7750;6
390;43840_91720;43840;91720;КОНЦЕНТРАТ ЖЛРУ;14109;14109;2188.52;1476.78;3665.30;1718.26;0.00;0.00;5383.56;3487.50;8871.06;7750;2
391;79540_93290;79540;93290;ГЛИНОЗЕМ;15106;15106;1961.74;718.46;2680.20;787.54;0.00;0.00;3467.74;35174.14;38641.88;45680.7;2
392;20540_1840;20540;1840;ОКАТЫШИ Ж/РУД;14111;14111;1142.07;614.26;1756.33;644.35;0.00;0.00;2400.68;3030.75;5431.43;8000;2
394;1810_98610;1810;98610;КОНЦЕНТР НИКЕЛ;15119;15119;4309.99;0.00;4309.99;1154.13;1066.67;0.00;6957.46;548168.40;555125.86;1034280;6
395;43540_30250;43540;30250;АГЛОРУДА;14113;14113;876.32;484.82;1361.14;644.35;0.00;0.00;2005.49;2000.00;4005.49;7650;3
396;1540_1850;1540;1850;КОНЦЕНТРАТ ЖЛРУ;14109;14109;423.77;140.66;564.43;357.97;500.00;0.00;1422.40;2825.58;4247.98;6033.3;4
397;81410_78140;81410;78140;КОНЦЕНТР МЕДН;15116;15116;1728.90;361.29;2090.19;572.75;0.00;0.00;2662.94;276381.70;279044.64;389270;2
398;20540_94700;20540;94700;ОКАТЫШИ Ж/РУД;14111;14111;3243.55;1300.83;4544.38;1575.07;0.00;0.00;6119.45;3030.75;9150.21;7153.77;3
399;90430_77090;90430;77090;КОНЦЕНТР МЕДН;15116;15116;4809.88;941.06;5750.94;1145.51;0.00;0.00;6896.45;330879.50;337775.95;389270;1
400;92620_92570;92620;92570;РУДА ЖЕЛЕЗ ПР;14116;14116;279.58;61.75;341.33;500.00;0.00;0.00;841.33;6081.57;6922.90;8446.62;2
402;77300_86420;77300;86420;ОКАТЫШИ Ж/РУД;14111;14111;1150.00;622.65;1772.65;787.54;0.00;0.00;2560.19;3939.98;6500.17;8000;3
403;43800_21190;43800;21190;КОНЦЕНТРАТ ЖЛРУ;14109;14109;427.00;162.03;589.03;357.97;0.00;0.00;947.00;3410.00;4357.00;7750;4
404;1540_81750;1540;81750;КОНЦЕНТРАТ ЖЛРУ;14109;14109;1278.97;703.80;1982.77;715.94;0.00;0.00;2698.71;2825.58;5524.29;7750;7
406;79540_19300;79540;19300;РУДА АЛЮМИН ПР;15133;15133;1095.22;586.85;1682.07;787.54;0.00;0.00;2469.61;35174.14;37643.75;45680.7;1
407;20530_62850;20530;62850;РУДА ЖЕЛЕЗ ДОМ;14114;14114;954.30;494.02;1448.32;680.14;0.00;0.00;2128.46;3378.65;5507.11;8446.62;6
408;1540_1850;1540;1850;КОНЦЕНТРАТ ЖЛРУ;14109;14109;483.59;160.53;644.12;501.16;500.00;0.00;1645.28;2825.58;4470.86;6033.3;4
409;28520_79540;28520;79540;БОКСИТЫ;15103;15103;945.87;509.72;1455.59;572.75;0.00;0.00;2028.34;35174.14;37202.48;45680.7;4
410;20530_21190;20530;21190;РУДА ЖЕЛЕЗ ДОМ;14114;14114;409.57;137.66;547.23;429.57;0.00;0.00;976.80;3378.65;4355.44;8446.62;1
411;43840_20120;43840;20120;БРИКЕТЫ ЖЕЛЕЗ;14103;14103;664.55;271.70;936.25;465.36;0.00;0.00;1401.61;3219.20;4620.81;7153.77;4
412;77540_1490;77540;1490;ГЛИНОЗЕМ;15106;15106;1961.93;696.49;2658.42;930.72;0.00;0.00;3589.14;35174.14;38763.28;45680.7;1
413;20540_7640;20540;7640;ОКАТЫШИ Ж/РУД;14111;14111;982.46;497.24;1479.70;501.16;850.00;0.00;2830.86;3030.75;5861.61;7153.77;12
414;80140_81360;80140;81360;КЛИНКЕР ЦВЕТМЕТ;15107;15107;1399.04;271.70;1670.74;501.16;0.00;0.00;2171.90;586781.52;588953.42;792948.00;1
415;88380_92450;88380;92450;РУДА АЛЮМИН ПР;15133;15133;784.95;437.35;1222.30;693.33;0.00;0.00;1915.63;35174.14;37089.77;45680.7;1
416;78570_80570;78570;80570;РУДА МЕДН;15139;15139;1016.26;180.73;1196.99;357.97;0.00;0.00;1554.96;555063.60;556618.56;792948.00;2
417;20530_86420;20530;86420;КОНЦЕНТРАТ ЖЛРУ;14109;14109;1446.22;821.10;2267.32;859.13;0.00;0.00;3126.45;3100.00;6226.45;7750;5
418;1540_81750;1540;81750;КОНЦЕНТРАТ ЖЛРУ;14109;14109;1357.03;750.43;2107.46;930.72;0.00;0.00;3038.18;2825.58;5863.76;7750;7
419;94470_94700;94470;94700;КОНЦЕНТРАТ ЖЛРУ;14109;14109;222.32;46.29;268.61;250.58;0.00;0.00;519.19;1568.66;2087.85;6033.3;4
420;43840_94700;43840;94700;РУДА ЖЕЛЕЗ ПР;14116;14116;3081.38;1235.78;4317.16;1217.10;0.00;0.00;5534.26;3800.98;9335.24;8446.62;1
421;1840_1640;1840;1640;ШТЕЙН НИКЕЛЕВ;15165;15165;257.37;0.00;257.37;270.50;0.00;0.00;627.87;548168.40;548796.27;1034280;2
423;77540_61050;77540;61050;ГЛИНОЗЕМ;15106;15106;1868.19;634.17;2502.36;859.13;0.00;0.00;3361.49;35174.14;38535.63;45680.7;2
424;77300_77000;77300;77000;ОКАТЫШИ Ж/РУД;14111;14111;196.00;43.29;239.29;333.33;0.00;0.00;572.62;3939.98;4512.60;8000;3
425;94470_94700;94470;94700;КОНЦЕНТР МЕДН;15116;15116;647.19;52.82;700.01;250.58;0.00;0.00;950.59;101210.20;102160.79;389270;4
427;88790_2780;88790;2780;ГЛИНА БЕНТОНИТ;24122;24122;1340.33;0.00;1340.33;670.43;0.00;0.00;2010.76;2938.37;4949.13;6827.76;6
428;2310_26270;2310;26270;ЩЕБЕНЬ ГРАН ПР;23239;23239;623.40;0.00;623.40;435.88;0.00;0.00;1059.28;1068.34;2127.63;1672.46;8
429;2310_24360;2310;24360;ЩЕБЕНЬ ГРАН ПР;23239;23239;666.56;0.00;666.56;435.88;0.00;0.00;1102.44;1068.34;2170.79;2076.86;3
430;88780_20080;88780;20080;ГЛИНОПОРОШОК;24128;24128;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;15043.82;16958.88;26577.06;7
431;88790_2780;88790;2780;ГЛИНА БЕНТОНИТ;24122;24122;1340.33;0.00;1340.33;670.43;0.00;0.00;2010.76;2938.37;4949.13;6827.76;6
432;79320_88250;79320;88250;ИЗВЕСТЬ НЕГАШЕН;23311;23311;1013.44;0.00;1013.44;586.10;0.00;0.00;1599.54;7429.27;9028.81;11982.69;3
433;81400_62370;81400;62370;ЩЕБЕНЬ ПР;23243;23243;474.27;0.00;474.27;286.38;0.00;0.00;760.65;1312.00;2072.65;1956.35;4
434;3210_81300;3210;81300;КИРПИЧ СТР ПР;25313;25313;1624.24;833.51;2457.75;1287.19;0.00;0.00;3744.94;3178.62;6923.56;5676.11;7
436;3380_58310;3380;58310;ПЛИТЫ ЖЕЛЕЗБЕТ;25409;25409;1584.23;0.00;1584.23;532.00;0.00;0.00;2116.23;8256.51;10372.74;11795.01;2
438;20090_20120;20090;20120;П/ЦЕМЕНТ СТР;28104;28104;412.46;131.60;544.06;289.29;0.00;0.00;833.35;3105.90;3939.25;6090.00;16
439;53110_53260;53110;53260;П/ЦЕМЕНТ СТР;28104;28104;925.62;0.00;925.62;286.38;0.00;0.00;1212.00;2618.70;3830.70;6090.00;7
440;20090_20120;20090;20120;П/ЦЕМЕНТ СТР;28104;28104;412.46;131.60;544.06;289.29;0.00;0.00;833.35;3105.90;3939.25;6090.00;16
441;2380_23780;2380;23780;ЩЕБЕНЬ ПР;23243;23243;647.07;0.00;647.07;465.36;0.00;0.00;1112.43;1761.83;2874.26;2696.02;4
442;29610_28660;29610;28660;ЩЕБЕНЬ Д/БАЛ ЖП;23603;23603;614.36;0.00;614.36;393.77;0.00;0.00;1008.13;1686.86;2694.99;2243.64;3
443;29610_29050;29610;29050;ЩЕБЕНЬ ГРАН ПР;23239;23239;249.80;0.00;249.80;286.38;0.00;0.00;536.18;1686.86;2223.04;2422.73;12
445;88790_43840;88790;43840;ГЛИНА БЕНТОНИТ;24122;24122;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;2938.37;4853.43;6732.06;4
446;88790_43860;88790;43860;ГЛИНА БЕНТОНИТ;24122;24122;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;2938.37;4853.43;6732.06;4
447;79320_83150;79320;83150;ИЗВЕСТЬ НЕГАШЕН;23311;23311;544.53;0.00;544.53;460.51;0.00;0.00;1005.04;9226.67;10231.71;11982.69;2
448;2210_18020;2210;18020;ЩЕБЕНЬ ГРАН ПР;23239;23239;614.36;0.00;614.36;429.57;0.00;0.00;1043.93;1068.34;2112.27;2696.02;7
449;2310_23780;2310;23780;ЩЕБЕНЬ ГРАН ПР;23239;23239;614.36;0.00;614.36;465.36;0.00;0.00;1079.72;1068.34;2148.07;2696.02;3
450;2310_18180;2310;18180;ЩЕБЕНЬ ГРАН ПР;23239;23239;614.36;0.00;614.36;465.36;0.00;0.00;1079.72;1068.34;2148.07;2696.02;2
451;3210_29040;3210;29040;КИРПИЧ СТР ПР;25313;25313;933.94;155.40;1089.34;581.31;0.00;0.00;1670.65;3178.62;4849.27;5676.11;1
452;79320_79870;79320;79870;ЩЕБЕНЬ ПР;23243;23243;647.07;0.00;647.07;393.77;0.00;0.00;1040.84;1443.20;2484.04;2422.73;2
453;80540_64840;80540;64840;ЩЕБЕНЬ ПР;23243;23243;494.22;0.00;494.22;357.97;0.00;0.00;852.19;1986.75;2838.94;2991.35;4
454;81730_25240;81730;25240;ЩЕБЕНЬ ПР;23243;23243;628.25;0.00;628.25;393.77;0.00;0.00;1022.02;1536.92;2558.93;3360.74;1
455;81390_65730;81390;65730;ЩЕБЕНЬ Д/БАЛ ЖП;23603;23603;420.23;0.00;420.23;322.17;0.00;0.00;742.40;1312.00;2054.41;2143.85;9
456;58320_62400;58320;62400;ЩЕБЕНЬ Д/БАЛ ЖП;23603;23603;436.45;0.00;436.45;357.97;0.00;0.00;794.42;1312.00;2106.42;1956.35;6
457;88790_43840;88790;43840;ГЛИНА БЕНТОНИТ;24122;24122;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;2938.37;4853.43;6732.06;4
458;88790_43860;88790;43860;ГЛИНА БЕНТОНИТ;24122;24122;1270.71;0.00;1270.71;644.35;0.00;0.00;1915.06;2938.37;4853.43;6732.06;4
459;88790_77300;88790;77300;ГЛИНА БЕНТОНИТ;24122;24122;941.77;0.00;941.77;501.16;0.00;0.00;1442.93;2938.37;4381.30;6259.93;3
460;3380_93160;3380;93160;ПЛИТЫ ЖЕЛЕЗБЕТ;25409;25409;3825.78;0.00;3825.78;798.00;0.00;0.00;4623.78;8256.51;12880.29;11795.01;4
461;58320_19290;58320;19290;ЩЕБЕНЬ ГРАН ПР;23239;23239;401.64;0.00;401.64;317.57;0.00;0.00;719.21;1312.00;2031.21;2083.74;10
462;76790_77000;76790;77000;КОКС ДОМЕН;17103;17103;508.57;186.25;694.82;581.18;0.00;0.00;1276.00;19047.99;20323.99;22409.4;2
463;84140_59220;84140;59220;КОКС ДОМЕН;17103;17103;2139.47;1011.73;3151.20;1065.49;0.00;0.00;4216.69;13669.73;17886.42;22409.4;3
464;87130_21190;87130;21190;КОКС ДОМЕН;17103;17103;2160.37;1031.55;3191.92;1113.92;0.00;0.00;4305.84;16582.96;20888.80;22409.4;9
465;84140_79380;84140;79380;КОКС ЛИТЕЙН;17105;17105;1615.77;820.36;2436.13;1029.17;0.00;0.00;3465.30;13669.73;17135.03;22409.4;2
466;19330_52780;19330;52780;МЕЛОЧЬ КОКСОВ;17110;17110;1408.17;640.76;2048.93;905.67;872.24;0.00;3826.84;13200.00;17026.84;15000;5
467;84140_84330;84140;84330;МЕЛОЧЬ КОКСОВ;17110;17110;502.80;198.03;700.83;452.83;0.00;0.00;1153.66;9150.00;10303.66;15000;2
468;19330_21390;19330;21390;КОКС ПР;17108;17108;421.11;133.06;554.17;640.37;0.00;0.00;1194.54;19720.27;20914.81;22409.4;2
470;76790_21390;76790;21390;КОКС ДОМЕН;17103;17103;1540.00;772.10;2312.10;968.63;0.00;0.00;3280.73;19047.99;22328.72;22409.4;6
472;76790_52100;76790;52100;МЕЛОЧЬ КОКСОВ;17110;17110;1868.28;800.97;2669.25;1070.33;872.24;0.00;4611.83;12750.00;17361.83;15000;5
473;87130_77000;87130;77000;КОКС ДОМЕН;17103;17103;1582.24;777.76;2360.00;1113.92;0.00;0.00;3473.92;16582.96;20056.88;22409.4;4
474;30250_86410;30250;86410;ОРЕШЕК КОКСОВ;17111;17111;2295.80;1098.47;3394.27;1356.08;0.00;0.00;4750.35;13200.00;17950.35;20000;2
475;77000_77300;77000;77300;МЕЛОЧЬ КОКСОВ;17110;17110;258.32;53.23;311.55;411.67;0.00;0.00;723.22;9900.00;10623.22;15000;2
476;19330_52780;19330;52780;КОКС ПР;17108;17108;1462.33;681.08;2143.41;1006.30;872.24;0.00;4021.95;19720.27;23742.22;22409.4;6
477;19330_92450;19330;92450;ОРЕШЕК КОКСОВ;17111;17111;2664.39;1312.86;3977.25;1743.53;0.00;0.00;5720.78;17600.00;23320.78;20000;5
478;87130_88260;87130;88260;ОРЕШЕК КОКСОВ;17111;17111;800.41;386.73;1187.14;726.47;0.00;0.00;1913.61;14800.00;16713.61;20000;2
479;81420_54490;81420;54490;ОРЕШЕК КОКСОВ;17111;17111;1866.84;842.41;2709.25;1404.51;0.00;0.00;4113.76;15600.00;19713.76;20000;2
480;76790_97000;76790;97000;КОКС ЛИТЕЙН;17105;17105;3984.00;1912.48;5896.48;2264.17;0.00;0.00;8160.65;19047.99;27208.64;22409.4;1
481;84140_84330;84140;84330;КОКС ЛИТЕЙН;17105;17105;675.94;275.60;951.54;566.04;0.00;0.00;1517.58;13669.73;15187.32;22409.4;2
482;81420_86410;81420;86410;КОКС ДОМЕН;17103;17103;1817.55;878.55;2696.10;1162.35;0.00;0.00;3858.45;17479.33;21337.78;22409.4;2
483;87130_77000;87130;77000;КОКС ДОМЕН;17103;17103;1649.73;812.23;2461.96;1113.92;0.00;0.00;3575.88;16582.96;20158.84;22409.4;4
485;84140_88260;84140;88260;ОРЕШЕК КОКСОВ;17111;17111;1103.76;584.06;1687.82;823.33;0.00;0.00;2511.15;12200.00;14711.15;20000;1
486;81760_51330;81760;51330;МЕЛОЧЬ КОКСОВ;17110;17110;1567.52;736.16;2303.68;905.67;0.00;0.00;3209.35;11250.00;14459.35;15000;10
487;30250_17410;30250;17410;МЕЛОЧЬ КОКСОВ;17110;17110;898.58;443.54;1342.12;658.67;0.00;0.00;2000.79;9900.00;11900.79;15000;3
488;30250_17410;30250;17410;МЕЛОЧЬ КОКСОВ;17110;17110;834.77;415.48;1250.25;658.67;0.00;0.00;1908.92;9900.00;11808.92;15000;3
489;21190_81650;21190;81650;МЕЛОЧЬ КОКСОВ;17110;17110;1556.82;684.13;2240.95;1111.50;0.00;0.00;3352.45;14250.00;17602.45;15000;3
490;19330_92450;19330;92450;ОРЕШЕК КОКСОВ;17111;17111;2702.98;1336.53;4039.51;1743.53;0.00;0.00;5783.04;17600.00;23383.04;20000;5
491;76790_87040;76790;87040;КОКС ЛИТЕЙН;17105;17105;1834.50;902.90;2737.40;1132.08;0.00;0.00;3869.48;19047.99;22917.47;22409.4;2
492;77000_77300;77000;77300;МЕЛОЧЬ КОКСОВ;17110;17110;328.22;67.65;395.87;411.67;0.00;0.00;807.54;9900.00;10707.54;15000;2
493;81420_81650;81420;81650;КОКС ЛИТЕЙН;17105;17105;673.67;239.02;912.69;463.13;0.00;0.00;1375.82;17479.33;18855.15;22409.4;4
494;87130_98930;87130;98930;МЕЛОЧЬ КОКСОВ;17110;17110;3000.27;1313.10;4313.37;2593.50;0.00;0.00;6906.87;11100.00;18006.87;15000;1
495;84140_59230;84140;59230;МЕЛОЧЬ КОКСОВ;17110;17110;1992.82;913.58;2906.40;1152.67;0.00;0.00;4059.07;9150.00;13209.07;15000;5
496;30250_2010;30250;2010;МЕЛОЧЬ КОКСОВ;17110;17110;731.30;312.45;1043.75;658.67;1034.28;0.00;2736.70;9900.00;12636.70;15000;2
498;76790_21390;76790;21390;КОКС ДОМЕН;17103;17103;1475.43;738.84;2214.27;968.63;0.00;0.00;3182.90;19047.99;22230.89;22409.4;6
500;81420_86410;81420;86410;КОКС ДОМЕН;17103;17103;1863.57;902.21;2765.78;1162.35;0.00;0.00;3928.13;17479.33;21407.46;22409.4;2
502;87130_21190;87130;21190;КОКС ДОМЕН;17103;17103;2274.08;1094.65;3368.73;1404.51;0.00;0.00;4773.24;16582.96;21356.20;22409.4;9
503;76790_7640;76790;7640;КОКС ДОМЕН;17103;17103;1815.12;828.53;2643.65;1162.35;1034.28;0.00;4840.28;19047.99;23888.27;22409.4;3
505;77000_93290;77000;93290;КОКС ПЕК КАМ/УГ;17106;17106;2043.64;945.08;2988.72;1192.41;0.00;0.00;4181.13;14790.20;18971.34;22409.4;4
506;76790_7640;76790;7640;КОКС ДОМЕН;17103;17103;1763.96;804.86;2568.82;1162.35;1034.28;0.00;4765.45;19047.99;23813.44;22409.4;3
507;19330_20120;19330;20120;КОКС ЛИТЕЙН;17105;17105;908.90;410.89;1319.79;668.96;0.00;0.00;1988.75;19720.27;21709.02;22409.4;5
508;77000_93290;77000;93290;КОКС ПЕК КАМ/УГ;17106;17106;2082.24;965.90;3048.14;1192.41;0.00;0.00;4240.55;14790.20;19030.76;22409.4;4
510;76790_52100;76790;52100;МЕЛОЧЬ КОКСОВ;17110;17110;1910.85;821.08;2731.93;1070.33;872.24;0.00;4674.51;12750.00;17424.51;15000;5
511;81760_80140;81760;80140;МЕЛОЧЬ КОКСОВ;17110;17110;502.80;198.03;700.83;576.33;0.00;0.00;1277.16;11250.00;12527.16;15000;2
512;87130_59220;87130;59220;КОКС ДОМЕН;17103;17103;2160.37;1031.55;3191.92;1113.92;0.00;0.00;4305.84;16582.96;20888.80;22409.4;1
513;19330_77000;19330;77000;КОКС ПР;17108;17108;1459.33;717.87;2177.20;1006.30;0.00;0.00;3183.50;19720.27;22903.77;22409.4;5
515;19330_20120;19330;20120;КОКС ЛИТЕЙН;17105;17105;991.90;444.50;1436.40;668.96;0.00;0.00;2105.36;19720.27;21825.63;22409.4;5
516;29810_62850;29810;62850;ПИЛМАТ ПР;9111;9111;2118.42;0.00;2118.42;412.93;0.00;0.00;2644.25;33856.00;36500.25;40600.00;4
517;29170_3560;29170;3560;ПИЛМАТ ПР;9111;9111;1475.87;0.00;1475.87;412.93;658.06;0.00;2659.77;29808.00;32467.77;40600.00;2
519;29810_98610;29810;98610;ПИЛМАТ ПР;9111;9111;6649.39;0.00;6649.39;1156.20;774.19;0.00;8895.91;33856.00;42751.91;40600.00;1
520;29810_7570;29810;7570;ПИЛМАТ ПР;9111;9111;1392.48;0.00;1392.48;454.22;658.06;0.00;2628.96;33856.00;36484.96;40600.00;1
521;30060_1180;30060;1180;ЩЕПА КР КРОВЕЛ;10307;10307;1306.94;769.61;2076.55;784.31;0.00;0.00;2860.86;6885.00;9745.86;8500.00;2
522;27350_85030;27350;85030;ФАНЕРА КЛЕЕНАЯ;9407;9407;3384.50;596.89;3981.39;869.38;0.00;0.00;4850.77;60590;65440.77;73000.00;3
523;29610_62850;29610;62850;ПИЛМАТ ПР;9111;9111;2397.35;0.00;2397.35;454.22;0.00;0.00;2975.77;32480.00;35455.77;40600.00;3
524;89580_98610;89580;98610;ПИЛМАТ ПР;9111;9111;4844.52;0.00;4844.52;825.85;774.19;0.00;6670.37;35322.00;41992.37;40600.00;1
525;89580_52100;89580;52100;ПИЛМАТ ПР;9111;9111;2932.98;1183.10;4116.08;585.00;900.00;0.00;5601.08;35322.00;40923.08;40600.00;6
526;29810_26190;29810;26190;ЩЕПА КР КРОВЕЛ;10307;10307;1437.22;873.29;2310.51;784.31;0.00;0.00;3094.82;7820;10914.82;8500.00;4
527;29870_64890;29870;64890;БАЛАНСЫ ХВОЙН;8104;8104;927.70;442.48;1370.18;260.00;0.00;0.00;1630.18;3587.14;5217.32;4428.57;4
528;29170_61840;29170;61840;ПИЛМАТ ПР;9111;9111;2272.60;735.97;3008.57;503.75;0.00;0.00;3512.32;29808.00;33320.32;40600.00;7
529;29610_7640;29610;7640;ПИЛМАТ ПР;9111;9111;1601.42;0.00;1601.42;454.22;658.06;0.00;2837.90;32480.00;35317.90;40600.00;2
530;29050_93730;29050;93730;ПИЛМАТ ПР;9111;9111;5301.77;0.00;5301.77;908.44;0.00;0.00;6458.60;29808.00;36266.60;40600.00;6
531;29780_29000;29780;29000;БАЛАНСЫ СВ 1,5М;8103;8103;589.95;237.95;827.90;260.00;0.00;0.00;1087.90;2700.00;3787.90;3333.33;4
532;29780_29000;29780;29000;БАЛАНСЫ СВ 1,5М;8103;8103;589.95;237.95;827.90;260.00;0.00;0.00;1087.90;2700.00;3787.90;3333.33;4
533;88250_98930;88250;98930;ПИЛМАТ ПР;9111;9111;2978.32;1206.95;4185.27;617.50;0.00;0.00;4802.77;30176;34978.77;40600.00;18
535;88250_93280;88250;93280;ПЛИТЫ ДВП;12201;12201;2480.85;395.32;2876.17;727.60;0.00;0.00;3603.77;30176;33779.77;58000.00;1
536;29170_3560;29170;3560;ПИЛМАТ ПР;9111;9111;1659.68;0.00;1659.68;495.51;658.06;0.00;2948.74;29808.00;32756.74;40600.00;2
537;29810_3560;29810;3560;ПИЛМАТ ПР;9111;9111;1155.19;0.00;1155.19;371.63;658.06;0.00;2286.51;33856.00;36142.51;40600.00;7
538;29810_1090;29810;1090;ЛЕСМАТ СВ 2М;8110;8110;1046.65;507.55;1554.20;260.00;0.00;0.00;1814.20;3066.666667;4880.87;3333.33;7
539;88250_52100;88250;52100;ПИЛМАТ ПР;9111;9111;2787.52;1084.58;3872.10;585.00;900.00;0.00;5357.10;34916.00;40273.10;40600.00;41
541;29810_93730;29810;93730;ПИЛМАТ ПР;9111;9111;5013.00;0.00;5013.00;825.85;0.00;0.00;6064.66;33856.00;39920.66;40600.00;13
542;88250_98610;88250;98610;ПИЛМАТ ПР;9111;9111;5109.26;0.00;5109.26;867.15;774.19;0.00;6987.70;30176;37163.70;40600.00;10
543;88250_98610;88250;98610;ПИЛМАТ ПР;9111;9111;4837.19;0.00;4837.19;701.98;774.19;0.00;6505.30;30176;36681.30;40600.00;10
544;29160_29810;29160;29810;ПИЛОВОЧНИК ВС;8118;8118;792.13;360.80;1152.93;260.00;0.00;0.00;1412.93;12880;14292.93;14000.00;2
545;29810_98020;29810;98020;ПИЛМАТ ПР;9111;9111;6300.32;0.00;6300.32;908.44;774.19;0.00;8231.34;33856.00;42087.34;40600.00;2
546;29170_62850;29170;62850;ПИЛМАТ ПР;9111;9111;2397.35;0.00;2397.35;454.22;0.00;0.00;2975.77;29808.00;32783.77;40600.00;3
547;30060_27350;30060;27350;КРЯЖ ФАНЕРНЫЙ;8117;8117;759.72;327.52;1087.24;252.78;0.00;0.00;1340.02;14807.69;16147.71;19230.77;2
548;29050_94700;29050;94700;ПИЛМАТ ПР;9111;9111;5294.42;0.00;5294.42;784.56;0.00;0.00;6293.50;29808.00;36101.50;40600.00;19
549;29610_3560;29610;3560;ПИЛМАТ ПР;9111;9111;1268.13;0.00;1268.13;371.63;658.06;0.00;2399.44;32480.00;34879.44;40600.00;4
